sample_index,time_s,env_id,mass_g,Fx_N,Fy_N,Fz_N,Mx_Nm,My_Nm,Mz_Nm,raw_Fx_N,raw_Fy_N,raw_Fz_N,raw_Mx_Nm,raw_My_Nm,raw_Mz_Nm
0,0.0,0,10,0.09674537181854248,-0.016045570373535156,0.00012303605035413057,0.0021476857364177704,0.012944191694259644,-0.0002448575393714236,2.030888319015503,-0.3454781770706177,-0.00013403659977484494,0.04619264230132103,0.27153879404067993,-0.00024441457935608923
0,0.0,1,20,0.19333279132843018,-0.03284773230552673,-5.216992576606572e-05,0.004395555704832077,0.025870859622955322,-0.000521853864768218,2.1274757385253906,-0.3622802793979645,-0.0003092603001277894,0.048440512269735336,0.2844654619693756,-0.0005214110715314746
0,0.0,2,30,0.2900000810623169,-0.049260228872299194,-8.015523781068623e-05,0.006591878831386566,0.03880724310874939,-0.0007922961124791073,2.2241430282592773,-0.3786928355693817,-0.00033722497755661607,0.050636835396289825,0.2974018454551697,-0.000791854050476104
0,0.0,3,40,0.38666832447052,-0.06567931175231934,-0.00011399382492527366,0.00878913700580597,0.051744043827056885,-0.001068543618913509,2.3208112716674805,-0.39511188864707947,-0.00037106769741512835,0.05283409357070923,0.3103386461734772,-0.0010681012645363808
0,0.0,4,50,0.4833298921585083,-0.08209642767906189,-0.00017085642321035266,0.010986216366291046,0.06468126177787781,-0.0013511197467153124,2.4174728393554688,-0.41152897477149963,-0.0004279444692656398,0.055031172931194305,0.3232758641242981,-0.001350677339360118
0,0.0,5,60,0.5796972513198853,-0.10046625137329102,0.00038880341162439436,0.013440553098917007,0.07755756378173828,-0.0016959907949853914,2.5138401985168457,-0.42989885807037354,0.00013173076149541885,0.05748550966382027,0.33615216612815857,-0.001695547834970057
0,0.0,6,70,0.6767109632492065,-0.11492720246315002,-0.0003567205567378551,0.01538015902042389,0.09056556224822998,-0.0019457776795093196,2.610853910446167,-0.44435980916023254,-0.0006137932068668306,0.05942511558532715,0.34916016459465027,-0.0019453347194939852
0,0.0,7,80,0.7734082937240601,-0.1313607394695282,-0.0010843566560652107,0.01758035644888878,0.10352388024330139,-0.0022528624392066376,2.7075512409210205,-0.4607933461666107,-0.0013414293061941862,0.06162531301379204,0.3621184825897217,-0.0022524194791913033
0,0.0,8,90,0.8700143098831177,-0.1477433741092682,-0.0003193839802406728,0.01975797861814499,0.11635276675224304,-0.0034451479517088046,2.804157257080078,-0.47717592120170593,-0.0005764743546023965,0.06380293518304825,0.37494736909866333,-0.003444705158472061
0,0.0,9,100,0.9666815996170044,-0.1641618013381958,-0.00036389430169947445,0.02191758155822754,0.12912768125534058,-0.004992638398391591,2.900824546813965,-0.4935944080352783,-0.0006209640414454043,0.0659625381231308,0.38772228360176086,-0.004992196336388588
0,0.0,10,110,1.0633498430252075,-0.1805723011493683,-0.00040459856973029673,0.02412036806344986,0.14196395874023438,-0.007356141204382993,2.997492790222168,-0.5100048780441284,-0.0006616724422201514,0.06816532462835312,0.40055856108665466,-0.007355698850005865
0,0.0,11,120,1.1601499319076538,-0.19653713703155518,0.00011480784451123327,0.026276804506778717,0.1551361382007599,-0.004191595158800965,3.0942928791046143,-0.5259696841239929,-0.00014228020154405385,0.07032176107168198,0.4137307405471802,-0.00419115275144577
0,0.0,12,130,1.2564536333084106,-0.22785687446594238,-0.006268179829930887,0.030469655990600586,0.16822224855422974,-0.0045861854447935,3.190596580505371,-0.5572894811630249,-0.006525252480059862,0.07451461255550385,0.42681685090065,-0.004585742484778166
0,0.0,13,140,1.3533743619918823,-0.2297431230545044,-0.0005362258234526962,0.030738309025764465,0.18106412887573242,-0.0044905884421382325,3.2875173091888428,-0.5591757297515869,-0.0007932984735816717,0.07478326559066772,0.4396587312221527,-0.004490145482122898
