env_id,mass_g,mass_kg,commanded_roll_deg,commanded_tilt_deg,actual_roll_deg,actual_tilt_deg,sample_max_combined_inclination_deg,sample_max_required_static_friction,bending_lever_arm_m,payload_normal_offset_m,settled,settle_time_s,sample_count,tare_sample_count,sample_max_relative_speed_m_s,sample_max_relative_angular_speed_rad_s,sample_max_position_error_m,sample_max_tangent_displacement_m,sample_max_payload_tool_angle_deg,sample_min_width_edge_margin_m,sample_min_length_edge_margin_m,force_direction_error_deg,moment_direction_error_deg,force_vector_error_N,moment_vector_error_Nm,nominal_expected_Fx_N,expected_Fx_N,Fx_N,Fx_std_N,Fx_error_N,raw_Fx_N,raw_Fx_std_N,tare_Fx_N,tare_Fx_std_N,expected_tare_Fx_N,tare_Fx_error_N,nominal_expected_Fy_N,expected_Fy_N,Fy_N,Fy_std_N,Fy_error_N,raw_Fy_N,raw_Fy_std_N,tare_Fy_N,tare_Fy_std_N,expected_tare_Fy_N,tare_Fy_error_N,nominal_expected_Fz_N,expected_Fz_N,Fz_N,Fz_std_N,Fz_error_N,raw_Fz_N,raw_Fz_std_N,tare_Fz_N,tare_Fz_std_N,expected_tare_Fz_N,tare_Fz_error_N,nominal_expected_Mx_Nm,expected_Mx_Nm,Mx_Nm,Mx_std_Nm,Mx_error_Nm,raw_Mx_Nm,raw_Mx_std_Nm,tare_Mx_Nm,tare_Mx_std_Nm,expected_tare_Mx_Nm,tare_Mx_error_Nm,nominal_expected_My_Nm,expected_My_Nm,My_Nm,My_std_Nm,My_error_Nm,raw_My_Nm,raw_My_std_Nm,tare_My_Nm,tare_My_std_Nm,expected_tare_My_Nm,tare_My_error_Nm,nominal_expected_Mz_Nm,expected_Mz_Nm,Mz_Nm,Mz_std_Nm,Mz_error_Nm,raw_Mz_Nm,raw_Mz_std_Nm,tare_Mz_Nm,tare_Mz_std_Nm,expected_tare_Mz_Nm,tare_Mz_error_Nm
0,500,0.5,-10.0,-10.0,-10.382213592529297,-9.969038009643555,14.355506896972656,0.25592851638793945,0.13369999999999999,0.026000000000000002,True,1.4958333333333333,240,180,0.001902444870211184,0.021090403199195862,0.000127345701912418,0.0001273441012017429,0.05595291033387184,0.03990895301103592,0.09991096705198288,0.0076213991040362875,0.008414016828041,0.0023728861590278745,0.0003114175155490011,4.75709615247744,4.751697897911072,4.749355579747094,0.0025434866743905644,-0.0023423181639774526,6.650208137432734,0.0025434866743905653,1.90085255768564,1.5454914677183041e-07,1.9008874893188477,-3.4931633207557766e-05,0.8388044015062024,0.8721855282783508,0.8724121009310097,0.00643384800457123,0.00022657265265890736,1.2191840941707293,0.006433848004571232,0.3467719932397207,6.657297270963274e-08,0.34665656089782715,0.0001154323418935399,0.8517443114562934,0.8483491837978363,0.8480445542269236,0.01388746536888389,-0.0003046295709127067,1.1884792124231656,0.013887465368883892,0.34043465819623736,3.462199456745222e-08,0.3404407501220703,-6.091925832951706e-06,-0.11214814848137925,-0.11661097407341003,-0.1166418191666408,0.0008500397609539237,-3.084509323077189e-05,-0.16300575155764818,0.0008500397609539242,-0.046363932391007744,7.973344560292042e-09,-0.04634798318147659,-1.5949209531150588e-05,0.6138784034883701,0.6128017604351044,0.6124921861622042,0.00021397589588396324,-0.00030957427290012607,0.8666359280546506,0.00021397589588396322,0.25414374189244376,3.432091585945219e-08,0.2541486620903015,-4.920197857749553e-06,0.021808914439161265,0.023067644331604242,0.02308154464716381,0.000271398806989778,1.3900315559568777e-05,0.023081965604797007,0.000271398806989778,4.209576331959397e-07,1.5980050121769574e-09,0.0,4.209576331959397e-07
1,500,0.5,-5.0,-10.0,-5.381518363952637,-9.968751907348633,11.315674781799316,0.200103759765625,0.13369999999999999,0.026000000000000002,True,1.4958333333333333,240,180,0.0017020818777382374,0.01737583428621292,9.979843889595941e-05,9.979843162000179e-05,0.06852804124355316,0.03995291143655777,0.09991201013326645,0.007461673468536622,0.008015571300656926,0.0023788138249720447,0.00030744610799326435,4.812100586043946,4.809645652770996,4.807323888275359,1.2430434167476544e-05,-0.0023217644956368133,6.731166273355484,1.2430434167476544e-05,1.9238423850801256,2.124108308877113e-07,1.923867106437683,-2.4721357557488943e-05,0.4210042490253005,0.4546489119529724,0.45506454176373157,2.6685181367604318e-05,0.00041562981075915495,0.6348477333784104,2.66851813676043e-05,0.17978319161468082,7.139611585162445e-08,0.17966526746749878,0.00011792414718203581,0.8517443114562934,0.8483129739761353,0.8480040780372063,4.3238856213854227e-05,-0.0003088959389289103,1.188438599805037,4.323885621385412e-05,0.3404345217678282,5.5464059675893476e-08,0.34044063091278076,-6.1091449525818575e-06,-0.05628826809468267,-0.06078667938709259,-0.06084260726347566,3.5183994139255363e-06,-5.5927876383067565e-05,-0.0848801621235907,3.5183994139255363e-06,-0.02403755486011505,1.0783984015134139e-08,-0.024021245539188385,-1.630932092666626e-05,0.6212324962562119,0.6205496788024902,0.6202476567692238,1.5069971000685476e-06,-0.00030202203326645805,0.8774651795625686,1.5069971000685476e-06,0.257217522793346,3.373153790808226e-08,0.2572210431098938,-3.5203165478225884e-06,0.010946110474657813,0.012006583623588085,0.012019920541713379,7.828433599174973e-07,1.333691812529375e-05,0.012020340325155606,7.828433599174969e-07,4.1978344221939144e-07,7.030245399101479e-09,0.0,4.1978344221939144e-07
2,500,0.5,0.0,-10.0,-0.38079631328582764,-9.96889591217041,9.976143836975098,0.1758967936038971,0.13369999999999999,0.026000000000000002,True,1.4958333333333333,240,180,0.0014738430036231875,0.014695359393954277,0.00012160270125605166,0.00012160265760030597,0.07912936061620712,0.03997977823019028,0.09988009929656982,0.007231664233990007,0.00771898052619911,0.0023864778867557007,0.00030913152007738375,4.83048202852488,4.830965995788574,4.828677499956559,1.7054199910960988e-05,-0.0022884958320155135,6.760868450005849,1.7054199910961066e-05,1.9321909500492944,1.6922845029603037e-07,1.932205080986023,-1.4130936728529164e-05,-0.0,0.033643245697021484,0.034240685781050176,4.303052136226078e-05,0.0005974400840286914,0.04566682032309473,4.303052136226078e-05,0.011426134542044665,8.351418300241176e-08,0.011306405067443848,0.00011972947460081769,0.8517443114562934,0.8483297824859619,0.8480117748181025,7.666097664753907e-05,-0.00031800766785938794,1.1884462664524713,7.66609766475392e-05,0.3404344916343689,4.443908711837188e-08,0.3404405117034912,-6.020069122314453e-06,0.0,-0.0044847819954156876,-0.004564826609566814,5.713402090410145e-06,-8.004461415112626e-05,-0.006093039317056537,5.713402090410147e-06,-0.0015282127074897288,1.1657503294945938e-08,-0.0015116663416847587,-1.6546365804970178e-05,0.6236900951159128,0.6244022846221924,0.6241042045255505,8.884824283933322e-07,-0.00029808009664189505,0.8824379446605841,8.884824283933327e-07,0.2583337401350339,2.919254549978404e-08,0.25833582878112793,-2.088646094022817e-06,-0.0,0.0007370915845967829,0.000754510322688555,1.4165235934041315e-06,1.741873809177211e-05,0.0007549409545996847,1.4165235934041311e-06,4.306319111277743e-07,8.283495674119798e-09,0.0,4.306319111277743e-07
3,500,0.5,5.0,-10.0,4.620162010192871,-9.96884822845459,10.977627754211426,0.19397467374801636,0.13369999999999999,0.026000000000000002,True,1.4958333333333333,240,180,0.0011793454177677631,0.011711688712239265,2.952525574073661e-05,2.952513204945717e-05,0.03956468030810356,0.039980605244636536,0.09997774660587311,0.00691855900045641,0.007418705249307334,0.002391140325486702,0.0003093273044445646,4.812100586043946,4.815507411956787,4.813267123036904,9.873222239065098e-07,-0.002240288919883149,6.739101850986481,9.87322223906512e-07,1.9258347279495662,2.435242812284601e-07,1.9258379936218262,-3.265672259944452e-06,-0.4210042490253005,-0.38764333724975586,-0.38687389617165036,3.896614977590696e-07,0.0007694410781055039,-0.5438924295206865,3.896614977590696e-07,-0.15701853334903718,8.109250044985623e-08,-0.15713894367218018,0.00012041032314299982,0.8517443114562934,0.8483240604400635,0.8479975362618756,2.44715187215615e-07,-0.0003265241781879036,1.1884323701262474,2.4471518721561504e-07,0.34043483386437096,5.997601687162554e-08,0.34044063091278076,-5.797048409805772e-06,0.05628826809468267,0.05182010680437088,0.051716904497394835,4.975402963662236e-08,-0.00010320230697604543,0.07270971601828932,4.975402963662243e-08,0.02099281152089437,1.2297840269284975e-08,0.021009476855397224,-1.666533450285501e-05,0.6212324962562119,0.6218634843826294,0.6215727844999903,1.3642142929870632e-07,-0.0002906998826390783,0.8790567693610986,1.3642142929870664e-07,0.257483984861109,3.8935785757069664e-08,0.2574845254421234,-5.405810143965795e-07,-0.010946110474657813,-0.010023963637650013,-0.010001023643243115,2.0284803751993868e-08,2.2939994406898437e-05,-0.010000598973905046,2.028480375199379e-08,4.2466933807519226e-07,5.729002128613905e-09,0.0,4.2466933807519226e-07
4,500,0.5,10.0,-10.0,9.621011734008789,-9.968850135803223,13.820466995239258,0.24600179493427277,0.13369999999999999,0.026000000000000002,True,1.4958333333333333,240,180,0.0008040951215662062,0.008795219473540783,0.0001221129932673648,0.00012211296416353434,0.07912936061620712,0.039916299283504486,0.09991108626127243,0.006513516033580784,0.006820956842928922,0.002385791534618053,0.0003111404399412412,4.75709615247744,4.76338005065918,4.761207803090403,0.00010520100240583292,-0.002172247568776875,6.666028587023417,0.0001052010024058328,1.9048207839330038,2.3214241656371145e-07,1.904813528060913,7.255872090716764e-06,-0.8388044015062024,-0.8059659004211426,-0.8050374002920276,5.951860562644686e-05,0.0009285001291149397,-1.1293087974190712,5.9518605626446896e-05,-0.3242713971270455,8.60600863188702e-08,-0.32439160346984863,0.0001202063428031308,0.8517443114562934,0.8483250141143799,0.8479915036095503,8.707582478328827e-05,-0.00033351050482954836,1.1884268755714098,8.707582478328849e-05,0.3404353719618585,6.97586120440815e-08,0.34044110774993896,-5.735788080440951e-06,0.11214814848137925,0.10775692760944366,0.10763270494838524,8.05911538590375e-06,-0.0001242226610584235,0.15098722521215677,8.05911538590375e-06,0.043354520263771214,1.377580972416146e-08,0.043371155858039856,-1.6635594268642195e-05,0.6138784034883701,0.614363431930542,0.6140790697601091,1.6825337996260953e-05,-0.000284362170432928,0.8687535469730695,1.6825337996260885e-05,0.2546744772129589,4.597900203052043e-08,0.254673570394516,9.068184428917547e-07,-0.021808914439161265,-0.02139095589518547,-0.02136825655878399,1.740656144944002e-06,2.2699336401480613e-05,-0.021367811178788543,1.7406561449440058e-06,4.4537999552100395e-07,7.76847401987059e-09,0.0,4.4537999552100395e-07
5,500,0.5,-10.0,-5.0,-10.378055572509766,-4.968571662902832,11.494421005249023,0.20335006713867188,0.13369999999999999,0.026000000000000002,True,1.4958333333333333,240,180,0.0017248394433408976,0.01945345103740692,0.00010210680920863524,0.00010210568143520504,0.05595291033387184,0.039908163249492645,0.09995534271001816,0.006463220904780004,0.006782917347926832,0.0023794042681810944,0.00031099480062981254,4.812100586043946,4.806409817934036,4.804040465752295,0.0044058198555037105,-0.002369352181741391,6.726878768205642,0.004405819855503712,1.922838302453359,1.9443671710205753e-07,1.922867774963379,-2.947251001983453e-05,0.8485031672025637,0.8818616092205047,0.8819887040389861,0.0059219660639900345,0.00012709481848138804,1.2326335112253826,0.005921966063990035,0.3506448071863916,6.13411728125478e-08,0.3505285382270813,0.00011626895931032832,0.4274989181772633,0.42400327771902085,0.4238255649805047,0.016583226826315217,-0.00017771273851613367,0.594564471145471,0.016583226826315207,0.17073890616496404,3.246773260792869e-08,0.17074275016784668,-3.8440028826414174e-06,-0.11344487345498275,-0.11790453437715769,-0.11792208635144805,0.0007795902340804178,-1.755197429036126e-05,-0.16480364861587685,0.0007795902340804177,-0.046881562264429195,1.1442020293452585e-08,-0.046865664422512054,-1.5897841917140998e-05,0.6322628764814666,0.6313572973012924,0.6310468471712533,0.00010436051714262563,-0.0003104501300391638,0.888130210340023,0.00010436051714262569,0.2570833631687694,3.0838311692934795e-08,0.2570874094963074,-4.046327537976513e-06,0.02206108234726666,0.023327529414867362,0.023333044029627582,0.00028953756142610366,5.514614760220027e-06,0.023333482110562423,0.00028953756142610366,4.380809348466149e-07,1.0101495151108762e-08,0.0,4.380809348466149e-07
6,500,0.5,-5.0,-5.0,-5.377333641052246,-4.968316555023193,7.316385269165039,0.1283923238515854,0.13369999999999999,0.026000000000000002,True,1.4958333333333333,240,180,0.0016624417621642351,0.019633077085018158,0.00015846334281377494,0.00015846322639845312,0.07912936061620712,0.039885811507701874,0.09989005327224731,0.006556677554047243,0.006890780604386422,0.0023664807426882935,0.00031299729072069966,4.867741014262441,4.864990343650182,4.8626522925164775,0.0027144066223726135,-0.002338051133704333,6.8087342818578085,0.0027144066223726143,1.946081989341312,2.1558891597608625e-07,1.9461009502410889,-1.896089977693194e-05,0.4258721557281467,0.45951220269004506,0.45985142398211554,0.009915300069970533,0.0003392212920704796,0.641576758523782,0.009915300069970535,0.18172533454166517,7.448688806492779e-08,0.18160682916641235,0.00011850537525281979,0.4274989181772633,0.42397226492563883,0.42383560140927673,0.016578252016546037,-0.00013666351636210106,0.5945743173360825,0.016578252016546034,0.17073871592680614,3.218761811571419e-08,0.17074298858642578,-4.272659619636299e-06,-0.056939107220853206,-0.061438450341423353,-0.06148438635799634,0.0013114315680996932,-4.59360165729894e-05,-0.08578138835728169,0.001311431568099693,-0.024297001999285486,6.992024425447273e-09,-0.024280833080410957,-1.616891887452898e-05,0.6397020017342794,0.6399369200070699,0.6396275490522385,0.000292855134425973,-0.00030937095483141164,0.8998185599843661,0.00029285513442597313,0.26019101093212765,4.0694360690870124e-08,0.26019370555877686,-2.6946266492022808e-06,0.011072676048931815,0.011351674884402503,0.011363790935186685,0.00037661632571935397,1.2116050784181931e-05,0.011364228018404294,0.00037661632571935413,4.3708321757978613e-07,7.968979606933756e-09,0.0,4.3708321757978613e-07
7,500,0.5,0.0,-5.0,-0.37668344378471375,-4.968424320220947,4.982636451721191,0.08718343824148178,0.13369999999999999,0.026000000000000002,True,1.4958333333333333,240,180,0.0013770073419436812,0.013834371231496334,1.5005914974608459e-05,1.5005913155619055e-05,0.05595291033387184,0.03999865800142288,0.09998505562543869,0.006491748530223349,0.007131192414316636,0.0023685485027140833,0.00045167323836253043,4.886334994140012,4.886526584625244,4.884221694204542,3.527501049501612e-05,-0.0023048904207021437,6.838736808300018,3.527501049501612e-05,1.954515114095476,2.2173692479714195e-07,1.9545235633850098,-8.449289533807303e-06,-0.0,0.03367334604263306,0.03420652292358386,5.420812894987805e-05,0.0005331768809508017,0.045629026088863614,5.4208128949878065e-05,0.011422503165279825,7.728690793400984e-08,0.0113028883934021,0.00011961477187772546,0.4274989181772633,0.42398524284362793,0.42387024470501605,5.088166582576971e-05,-0.00011499813861187702,0.594608957072099,5.088166582576975e-05,0.1707387123670843,4.86099590259161e-08,0.17074275016784668,-4.037800762385357e-06,0.0,-0.004502215422689915,-0.004574008994839249,7.2523545279522905e-06,-7.179357214933454e-05,-0.006101537457046409,7.252354527952295e-06,-0.0015275284622071517,1.0463017414383562e-08,-0.0015111961401998997,-1.6332322007252004e-05,0.6421880168439107,0.6422107219696045,0.6417656178275757,3.779959330987314e-06,-0.0004451041420288071,0.9030841742952664,3.779959330987316e-06,0.26131855646769203,2.8975021858390362e-08,0.2613197863101959,-1.229842503891465e-06,-0.0,0.0008418277138844132,0.0008689699319170837,1.3441330443486855e-06,2.7142218032670442e-05,0.0008694062094339945,1.3441330443486855e-06,4.3627751690817404e-07,9.257168935218266e-09,0.0,4.3627751690817404e-07
8,500,0.5,5.0,-5.0,4.623824119567871,-4.968311786651611,6.78324556350708,0.11894502490758896,0.13369999999999999,0.026000000000000002,True,1.4958333333333333,240,180,0.0015290987212210894,0.015161720104515553,8.734650327824056e-05,8.734635048313066e-05,0.07912936061620712,0.03994261473417282,0.0999336689710617,0.005731891004869547,0.006004325894696342,0.002362650457366675,0.00031134048738557424,4.867741014262441,4.870862237612406,4.868602601687103,0.0021926204093074718,-0.002259635925303094,6.816675823926926,0.0021926204093074718,1.9480732222398123,2.31071228210599e-07,1.9480711221694946,2.100070317645475e-06,-0.4258721557281467,-0.3924037769436836,-0.39173164193829013,0.024644819037052824,0.0006721350053934816,-0.5507001859446367,0.024644819037052828,-0.15896854400634766,8.277305454206161e-08,-0.15908849239349365,0.00011994838714599054,0.4274989181772633,0.4239723374446233,0.42381614140338253,0.014523277207225738,-0.0001561960412407859,0.5945547111332417,0.014523277207225734,0.170738569729858,4.555073755584086e-08,0.17074263095855713,-4.061228699142605e-06,0.056939107220853206,0.05246610948815942,0.05237579594055785,0.0032705531809957386,-9.031354760156984e-05,0.07362956016634901,0.0032705531809957386,0.021253764225790898,6.1455306275388396e-09,0.021270131692290306,-1.6367466499408317e-05,0.6397020017342794,0.6405093426505725,0.6402120105922209,0.00036112079134095445,-0.0002973320583515848,0.9006693604091803,0.0003611207913409545,0.2604573498169581,1.6699049447263865e-08,0.2604570984840393,2.513329188102986e-07,-0.011072676048931815,-0.009965315895775954,-0.009946080270454285,0.0006909343579498188,1.9235625321668837e-05,-0.009945630514994263,0.000690934357949819,4.497554600549039e-07,4.577985992084001e-09,0.0,4.497554600549039e-07
9,500,0.5,10.0,-5.0,9.625027656555176,-4.968270301818848,10.821036338806152,0.19114020466804504,0.13369999999999999,0.026000000000000002,True,1.4958333333333333,240,180,0.0012949565425515175,0.011184430681169033,9.461286390433088e-05,9.4612616521772e-05,0.07912936061620712,0.039916008710861206,0.09995556622743607,0.005603994490104861,0.005899457344797218,0.002380357552438707,0.00031250382330185144,4.812100586043946,4.818103388945262,4.8158919857607945,0.0026461677198346915,-0.002211403184467109,6.742696901162465,0.0026461677198346915,1.9268049154016706,2.101090919458016e-07,1.9267925024032593,1.241299841137078e-05,-0.8485031672025637,-0.815575156112512,-0.814714675645033,0.024037624473984203,0.0008604804674789968,-1.142865960796674,0.0240376244739842,-0.32815128515164055,9.65050288108789e-08,-0.32827049493789673,0.00011920978625618028,0.4274989181772633,0.423967448870341,0.42377937601672344,0.014342497156443248,-0.0001880728536175491,0.594518365462621,0.01434249715644325,0.17073898944589827,5.893818247808755e-08,0.17074275016784668,-3.7607219484092624e-06,0.11344487345498275,0.10904199630022049,0.10892670280817462,0.0031725003693526045,-0.00011529349204586481,0.1528001661101977,0.003172500369352605,0.04387346330202288,1.1727836259997658e-08,0.043889764696359634,-1.6301394336754038e-05,0.6322628764814666,0.6329245656728745,0.632635180900493,0.0005195966306216698,-0.00028938477238149574,0.8902489674588044,0.0005195966306216701,0.2576137865583102,3.382253510298324e-08,0.2576121687889099,1.6177694002750265e-06,-0.02206108234726666,-0.02164456604514271,-0.02161961601941417,0.000646949324346918,2.4950025728540104e-05,-0.02161917039969315,0.0006469493243469181,4.4561972111346725e-07,9.834484493170207e-09,0.0,4.4561972111346725e-07
