sample_index,time_s,env_id,mass_g,commanded_roll_deg,commanded_tilt_deg,Fx_N,Fy_N,Fz_N,Mx_Nm,My_Nm,Mz_Nm,raw_Fx_N,raw_Fy_N,raw_Fz_N,raw_Mx_Nm,raw_My_Nm,raw_Mz_Nm,expected_Fx_N,expected_Fy_N,expected_Fz_N,expected_Mx_Nm,expected_My_Nm,expected_Mz_Nm
0,0.0,0,500,-10.0,-10.0,4.7497313022613525,0.873138427734375,0.8501153588294983,-0.11674148961901665,0.6125540733337402,0.02307802066223985,6.6505818367004395,1.219909906387329,1.1905503273010254,-0.16310535371303558,0.8666976690292358,0.023078441619873047,4.751697540283203,0.8721832036972046,0.8483526706695557,-0.11661069095134735,0.6128016710281372,0.02306767925620079
0,0.0,1,500,-5.0,-10.0,4.807323217391968,0.45502951741218567,0.847943127155304,-0.0608378816395998,0.6202490031719208,0.012018859629250755,6.7311625480651855,0.6348124742507935,1.1883779764175415,-0.0848754495382309,0.8774664402008057,0.012019279412925243,4.809645652770996,0.4546489119529724,0.8483129739761353,-0.06078667938709259,0.6205496788024902,0.012006583623588085
0,0.0,2,500,0.0,-10.0,4.828699946403503,0.03424794692546129,0.8480746150016785,-0.004565808922052383,0.6241047978401184,0.0007550043985986576,6.760890007019043,0.04567407816648483,1.188509464263916,-0.00609402172267437,0.8824388384819031,0.0007554350304417312,4.830965995788574,0.033643245697021484,0.8483297824859619,-0.0044847819954156876,0.6244022846221924,0.0007370915845967829
0,0.0,3,500,5.0,-10.0,4.8132652044296265,-0.38687387108802795,0.8479974567890167,0.051716867834329605,0.6215726137161255,-0.010001011178900399,6.739102363586426,-0.543892502784729,1.1884324550628662,0.07270964980125427,0.8790569305419922,-0.01000058650970459,4.815507411956787,-0.38764333724975586,0.8483240604400635,0.05182010680437088,0.6218634843826294,-0.010023963637650013
0,0.0,4,500,10.0,-10.0,4.761056423187256,-0.8050078451633453,0.8480256199836731,0.10762850567698479,0.6140565574169159,-0.02136765441233024,6.665874481201172,-1.1292797327041626,1.1884607076644897,0.1509830206632614,0.8687307834625244,-0.021367209032177925,4.76338005065918,-0.8059659004211426,0.8483250141143799,0.10775692760944366,0.614363431930542,-0.02139095589518547
0,0.0,5,500,-10.0,-5.0,4.799891471862793,0.8760111033916473,0.40842556953430176,-0.11713799461722374,0.631194144487381,0.02301365287374324,6.722732067108154,1.2266552448272705,0.5791642069816589,-0.1640196293592453,0.8882777690887451,0.023014090955257416,4.806410312652588,0.8818600177764893,0.42400527000427246,-0.11790439486503601,0.6313573122024536,0.023328211158514023
0,0.0,6,500,-5.0,-5.0,4.861021637916565,0.4549442231655121,0.41445985436439514,-0.06083294935524464,0.6396929323673248,0.011199180675163234,6.80709981918335,0.6366692185401917,0.5851983428001404,-0.08512996882200241,0.8998844027519226,0.011199617758393288,4.864990711212158,0.4595082998275757,0.42397332191467285,-0.06143790856003761,0.639937162399292,0.011351237073540688
0,0.0,7,500,0.0,-5.0,4.884211897850037,0.03419320099055767,0.4238746464252472,-0.004572274046950042,0.6417647302150726,0.0008686129473005622,6.8387298583984375,0.04561570659279823,0.5946131348609924,-0.006099801976233721,0.9030830264091492,0.0008690492250025272,4.886526584625244,0.03367334604263306,0.42398524284362793,-0.004502215422689915,0.6422107219696045,0.0008418277138844132
0,0.0,8,500,5.0,-5.0,4.871832847595215,-0.36343637108802795,0.4226895719766617,0.04861886240541935,0.6406384408473969,-0.009105677643674426,6.8199028968811035,-0.5224047303199768,0.5934278964996338,0.06987264752388,0.9010955691337585,-0.009105227887630463,4.8708624839782715,-0.39239925146102905,0.4239758253097534,0.05246557295322418,0.6405097842216492,-0.009965570643544197
0,0.0,9,500,10.0,-5.0,4.813908100128174,-0.8161527812480927,0.4163128286600113,0.10911611467599869,0.6325863897800446,-0.02167441181882168,6.740715980529785,-1.1443043947219849,0.587051510810852,0.15298952162265778,0.8902004361152649,-0.021673966199159622,4.8181023597717285,-0.8155818581581116,0.4239630699157715,0.10904311388731003,0.6329249143600464,-0.021646369248628616
