sample_index,time_s,env_id,mass_g,Fx_N,Fy_N,Fz_N,Mx_Nm,My_Nm,Mz_Nm,raw_Fx_N,raw_Fy_N,raw_Fz_N,raw_Mx_Nm,raw_My_Nm,raw_Mz_Nm
0,0.0,0,10,0.09804773330688477,0.0006098579615354538,-2.59540684055537e-05,-8.154299575835466e-05,0.013109952211380005,1.533395047204067e-05,2.06001353263855,0.012044481933116913,-0.00028352142544463277,-0.0016104907263070345,0.2754240930080414,1.5790910765645094e-05
0,0.0,1,20,0.1961730718612671,0.0014664987102150917,0.00037929543759673834,-0.0001958211651071906,0.026218295097351074,3.8526512241787714e-05,2.1581389904022217,0.01290115062147379,0.00012100866297259927,-0.0017247764626517892,0.28853243589401245,3.8978741940809414e-05
0,0.0,2,30,0.2941476106643677,0.0018391329795122147,-8.721789345145226e-05,-0.0002459005918353796,0.03932926058769226,4.6198379891393415e-05,2.2561123371124268,0.013273808173835278,-0.0003454957331996411,-0.0017748555401340127,0.30164337158203125,4.66492710984312e-05
0,0.0,3,40,0.39200806617736816,0.002047763206064701,-0.0010103040549438447,-0.00027435668744146824,0.05243733525276184,4.845982803658444e-05,2.353973150253296,0.013482443057000637,-0.001268584281206131,-0.0018033115193247795,0.31475144624710083,4.8913057980826125e-05
0,0.0,4,50,0.49025022983551025,0.0030733318999409676,-0.00014663301408290863,-0.0004109487636014819,0.06554892659187317,7.751857370408288e-05,2.452216386795044,0.014507991261780262,-0.00040491914842277765,-0.0019399040611460805,0.32786306738853455,7.79710608185269e-05
0,0.0,5,60,0.5880482196807861,0.003205697052180767,-0.0013066001993138343,-0.0004294092068448663,0.07865473628044128,7.68602102141358e-05,2.550014019012451,0.014640321023762226,-0.0015641675563529134,-0.001958356937393546,0.34096887707710266,7.731717050774023e-05
0,0.0,6,70,0.6864988803863525,0.004818374291062355,0.0007130304875317961,-0.0006436578696593642,0.09176585078239441,0.0001250574849507302,2.6484646797180176,0.016252998262643814,0.00045546313049271703,-0.002172605600208044,0.3540799915790558,0.00012551444524433464
0,0.0,7,80,0.7844042778015137,0.004955492913722992,-0.00025342058506794274,-0.0006626473041251302,0.10487869381904602,0.00012538210907564462,2.7463700771331787,0.01639011688530445,-0.0005109879421070218,-0.00219159503467381,0.3671928346157074,0.00012583906936924905
0,0.0,8,90,0.8825186491012573,0.005521269515156746,-0.0003694720799103379,-0.0007382945623248816,0.1180005669593811,0.00013931763550090182,2.844484567642212,0.016955921426415443,-0.000627758854534477,-0.00226724985986948,0.3803147077560425,0.00013976986519992352
0,0.0,9,100,0.9804779291152954,0.0060931602492928505,-0.0004139346710871905,-0.0008149378700181842,0.13109692931175232,0.0001530498119564072,2.9424426555633545,0.017527835443615913,-0.0006722125108353794,-0.0023438928183168173,0.3934110403060913,0.000153500703163445
0,0.0,10,110,1.078557014465332,0.006861474364995956,-0.0003844732709694654,-0.0009175201412290335,0.1442091464996338,0.00017329724906289812,3.0405220985412598,0.018296154215931892,-0.0006427534972317517,-0.0024464749731123447,0.4065232574939728,0.0001737504790071398
0,0.0,11,120,1.1766055822372437,0.007493341341614723,-0.00044419168261811137,-0.001001950353384018,0.15731939673423767,0.0001891819603372369,3.1385717391967773,0.018928000703454018,-0.0007024778169579804,-0.0025309056509286165,0.41963353753089905,0.0001896344474516809
0,0.0,12,130,1.2746632099151611,0.008145907893776894,-0.00046504943748004735,-0.0010892517166212201,0.17042994499206543,0.00020596689032004178,3.236629009246826,0.019580531865358353,-0.0007226167945191264,-0.0026181994471699,0.4327440857887268,0.0002064238506136462
0,0.0,13,140,1.372704029083252,0.008811255916953087,-0.0005386671691667289,-0.001178132020868361,0.1835392415523529,0.0002227920475377232,3.334669828414917,0.020245879888534546,-0.0007962345262058079,-0.002707079751417041,0.4458533823490143,0.00022324900783132762
0,0.0,14,150,1.470760464668274,0.009454450570046902,-0.0005816981138195843,-0.0012642024084925652,0.19664964079856873,0.0002395127801264607,3.4327266216278076,0.020889105275273323,-0.0008392761228606105,-0.002793152118101716,0.4589637815952301,0.00023996736854314804
0,0.0,15,160,1.5688055753707886,0.010101990774273872,-0.0006532079714816064,-0.0013507469557225704,0.20976024866104126,0.0002555540458786254,3.5307705402374268,0.021536674350500107,-0.0009114755084738135,-0.002879697596654296,0.47207435965538025,0.00025600913795642555
0,0.0,16,170,1.6668555736541748,0.010793706402182579,-0.000650981324724853,-0.0014431969029828906,0.22286871075630188,0.0002733646159924774,3.6288208961486816,0.022228380665183067,-0.000909253372810781,-0.0029721504542976618,0.48518285155296326,0.00027381928521208465
0,0.0,17,180,1.7649157047271729,0.011429006233811378,-0.0007603114936500788,-0.001528159948065877,0.23598167300224304,0.0002895208407096561,3.726881265640259,0.022863654419779778,-0.0010178766679018736,-0.003057110123336315,0.4982958137989044,0.00028997729532420635
0,0.0,18,190,1.8661298751831055,0.01369595155119896,0.011127514240797609,-0.0018257434712722898,0.2491534948348999,0.000406629796600555,3.8280956745147705,0.02513064071536064,0.010869236662983894,-0.0033546998165547848,0.5114676356315613,0.0004070826980751008
0,0.0,19,200,1.9618340730667114,0.014279342256486416,0.003958731220336631,-0.0019082115031778812,0.2621786594390869,0.00037290250361365906,3.923800230026245,0.025713996961712837,0.0037011532112956047,-0.003437161212787032,0.5244928002357483,0.0003733570920303464
0,0.0,20,210,2.059083342552185,0.013456792570650578,-0.0009019743592943996,-0.0017993419896811247,0.27531349658966064,0.0003411594504996174,4.021049499511719,0.024891447275877,-0.0011595523683354259,-0.0033282916992902756,0.537627637386322,0.0003416140389163047
0,0.0,21,220,2.156952738761902,0.015043565072119236,-0.00078323416528292,-0.0020107212476432323,0.2883944809436798,0.0003836412600151107,4.118917465209961,0.026478230953216553,-0.0010415028082206845,-0.0035396728198975325,0.5507085919380188,0.00038408892578445375
0,0.0,22,230,2.251339077949524,0.01543231587857008,-0.01050899430993013,-0.0020667859353125095,0.3013441860675812,0.00034015340085602475,4.213304042816162,0.026867002248764038,-0.010767263360321522,-0.0035957414656877518,0.5636582970619202,0.0003406077157706022
0,0.0,23,240,2.354289174079895,0.013897357508540154,0.0017791895370464772,-0.0018590744584798813,0.31473496556282043,0.00037461985411368914,4.316254138946533,0.025332041084766388,0.001520919264294207,-0.003388027660548687,0.5770490765571594,0.00037507398519665003
0,0.0,24,250,2.4513086080551147,0.016418082639575005,-0.0008316068269778043,-0.0021948531502857804,0.327749103307724,0.00041963584331483617,4.413273334503174,0.02785274013876915,-0.0010891800047829747,-0.003723804373294115,0.590063214302063,0.0004200912662781775
0,0.0,25,260,2.549399733543396,0.01635628752410412,-0.0014918179076630622,-0.0021878585685044527,0.34088534116744995,0.00041392088658653847,4.51136589050293,0.027790943160653114,-0.0017493879422545433,-0.003716809442266822,0.6031994819641113,0.0004143758851569146
0,0.0,26,270,2.6473487615585327,0.01746771764010191,-0.001385299750836566,-0.0023355332668870687,0.3539756238460541,0.00044283460945848674,4.609313488006592,0.028902383521199226,-0.0016435683937743306,-0.003864484839141369,0.6162897348403931,0.0004432822752278298
0,0.0,27,280,2.745433211326599,0.018185640685260296,-0.0014128579350654036,-0.0024316979106515646,0.3670901954174042,0.00046133256753932983,4.707397937774658,0.029620306566357613,-0.001671126578003168,-0.003960649482905865,0.6294043064117432,0.0004617802333086729
0,0.0,28,290,2.8434709310531616,0.018820269964635372,-0.0015725060075055808,-0.002516529872082174,0.3802010715007782,0.0004770265227875825,4.805435657501221,0.030254919081926346,-0.00183077750261873,-0.004045477602630854,0.6425151824951172,0.00047747950884513557
0,0.0,29,300,2.9415539503097534,0.019437077455222607,-0.0018250432913191617,-0.002599055995233357,0.39332231879234314,0.0004910940079696502,4.9035186767578125,0.030871732160449028,-0.0020833066664636135,-0.004128003492951393,0.6556364297866821,0.0004915486206300557
0,0.0,30,310,3.0395851135253906,0.020245828665792942,-0.0016747737827245146,-0.0027071128133684397,0.40642356872558594,0.0005134117088232415,5.001550197601318,0.03168048709630966,-0.0019330508075654507,-0.004236063454300165,0.6687377095222473,0.0005138657870702446
0,0.0,31,320,3.1376187801361084,0.02099832333624363,-0.0017052570474334061,-0.0028077245224267244,0.419530987739563,0.0005328787640621613,5.099584102630615,0.03243297338485718,-0.0019635288044810295,-0.004336674232035875,0.6818451285362244,0.0005333332810550928
0,0.0,32,330,3.234115242958069,0.010984405875205994,-0.014470160938799381,-0.0014795329188928008,0.4328845143318176,0.00017591081538625986,5.196080684661865,0.022419067099690437,-0.014728428795933723,-0.003008482977747917,0.695198655128479,0.0001763676555128768
0,0.0,33,340,3.33163058757782,0.0060865143314003944,-0.020813408395042643,-0.0008307452080771327,0.4461192190647125,1.7199238357079594e-05,5.293595314025879,0.017521163448691368,-0.021071679890155792,-0.0023596929386258125,0.7084333300590515,1.7652224414632656e-05
0,0.0,34,350,3.4295800924301147,0.028758435510098934,-0.005635441368212923,-0.0038418470649048686,0.4586546719074249,0.0007054021558019485,5.391544818878174,0.04019308462738991,-0.005893712863326073,-0.005370794795453548,0.7209687829017639,0.0007058551418595016
0,0.0,35,360,3.5286086797714233,0.011140516959130764,-0.014685397705761716,-0.0015028240159153938,0.47231775522232056,0.00015057355517456017,5.490574836730957,0.022575171664357185,-0.014942975714802742,-0.0030317737255245447,0.7346318960189819,0.0001510281435912475
0,0.0,36,370,3.628517746925354,0.030147606506943703,0.004615652986103669,-0.004021310014650226,0.4848800599575043,0.0008491354282966768,5.590482711791992,0.04158229008316994,0.004357385449111462,-0.005550260655581951,0.7471941709518433,0.0008495905203744769
0,0.0,37,380,3.723912477493286,0.014087898656725883,-0.01711013028398156,-0.0018959444714710116,0.49845439195632935,0.0002429235227339177,5.685877799987793,0.025522572919726372,-0.01736840233206749,-0.003424898022785783,0.7607685327529907,0.00024337819195352495
0,0.0,38,390,3.8225855827331543,0.014287393540143967,-0.016359723638743162,-0.001922863768413663,0.5116235613822937,0.00025058265131860935,5.78455114364624,0.025722041726112366,-0.016617288812994957,-0.003451813943684101,0.7739377021789551,0.0002510391059331596
0,0.0,39,400,3.923671007156372,0.03978594392538071,0.012651281838770956,-0.005306256120093167,0.5241185426712036,0.001130112866633226,5.885636806488037,0.05122063308954239,0.012393004260957241,-0.006835212465375662,0.786432683467865,0.0011305657681077719
0,0.0,40,410,4.02186906337738,0.03977211285382509,0.013257238344522193,-0.005304433638229966,0.537219226360321,0.0011303919734473311,5.983835220336914,0.051206767559051514,0.012999660335481167,-0.006833383347839117,0.7995333671569824,0.0011308465618640184
0,0.0,41,420,4.11674964427948,0.013708787970244884,-0.019343018269864842,-0.001848213141784072,0.5510427355766296,0.00022017206242708198,6.078715801239014,0.025143442675471306,-0.01960059627890587,-0.003377162851393223,0.813356876373291,0.0002206266508437693
0,0.0,42,430,4.211989164352417,0.025200868025422096,-0.010371700074756518,-0.00337725633289665,0.563656210899353,0.0005504797144055829,6.173954963684082,0.036635491997003555,-0.010629267431795597,-0.00490620406344533,0.8259703516960144,0.0005509366746991873
